[00:00:00.017] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4645.jpg -> /home/sgzmd/Downloads/Temp/2016/12/02/IMG_4645.jpg
[00:00:00.017] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161211_113306.jpg
[00:00:00.017] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161211_113306.jpg -> /home/sgzmd/Downloads/Temp/2016/12/11/IMG_20161211_113306.jpg
[00:00:00.017] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_102936.jpg
[00:00:00.017] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_102936.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_102936.jpg
[00:00:00.017] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_100104.jpg
[00:00:00.017] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_100104.jpg -> /home/sgzmd/Downloads/Temp/2016/12/04/IMG_20161204_100104.jpg
[00:00:00.018] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161208_110348.jpg
[00:00:00.018] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161208_110348.jpg -> /home/sgzmd/Downloads/Temp/2016/12/08/IMG_20161208_110348.jpg
[00:00:00.018] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161218_082847.jpg
[00:00:00.018] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161218_082847.jpg -> /home/sgzmd/Downloads/Temp/2016/12/18/IMG_20161218_082847.jpg
[00:00:00.018] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_130928.jpg
[00:00:00.018] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_130928.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_130928.jpg
[00:00:00.018] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4824.jpg
[00:00:00.018] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4824.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_4824.jpg
[00:00:00.019] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00021IMG_00021_BURST20161126121830.jpg
[00:00:00.019] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00021IMG_00021_BURST20161126121830.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/00021IMG_00021_BURST20161126121830.jpg
[00:00:00.019] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4819.jpg
[00:00:00.019] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4819.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_4819.jpg
[00:00:00.019] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161128_185516.jpg
